,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000031428,391.1935425,1.698109125,0.244809172,6.936460401,4.02E-12,1.10E-09
ENSMUSG00000015599,545.0358088,1.929594052,0.278436713,6.930099228,4.21E-12,1.13E-09
ENSMUSG00000026566,295.6025498,1.505030919,0.219676299,6.851130153,7.33E-12,1.93E-09
ENSMUSG00000003379,268.5338226,-2.702775233,0.396513555,-6.816350152,9.34E-12,2.35E-09
ENSMUSG00000078920,1360.593723,-0.971163946,0.142442224,-6.817949903,9.23E-12,2.35E-09
ENSMUSG00000030724,231.6288716,-2.823722931,0.415742778,-6.791995141,1.11E-11,2.73E-09
ENSMUSG00000030772,78.0622335,2.104657805,0.311935321,6.747096799,1.51E-11,3.65E-09
ENSMUSG00000037071,241.9131245,-3.240084831,0.48266899,-6.712850631,1.91E-11,4.54E-09
ENSMUSG00000059713,1022.935143,-0.936852594,0.140581189,-6.664139071,2.66E-11,6.21E-09
ENSMUSG00000047881,546.8500151,1.531465228,0.230600851,6.641195055,3.11E-11,7.12E-09
ENSMUSG00000034751,1431.028388,1.799466056,0.2746729,6.5513054,5.70E-11,1.28E-08
ENSMUSG00000046410,343.1801608,1.811317673,0.277525537,6.526670272,6.72E-11,1.48E-08
ENSMUSG00000052632,266.2178152,1.334754191,0.205972308,6.480260401,9.16E-11,1.98E-08
ENSMUSG00000022817,51.63726463,2.226062623,0.344641029,6.45907607,1.05E-10,2.22E-08
ENSMUSG00000022901,623.8163159,-0.828938492,0.128353753,-6.458233381,1.06E-10,2.22E-08
ENSMUSG00000018168,2082.572892,-0.916903703,0.14243207,-6.437480717,1.21E-10,2.50E-08
ENSMUSG00000026179,667.5356458,1.49277217,0.232980918,6.407272258,1.48E-10,3.00E-08
ENSMUSG00000074802,204.9211367,1.633128216,0.255044529,6.403306211,1.52E-10,3.03E-08
ENSMUSG00000006301,822.0825046,1.858533987,0.292232561,6.359777222,2.02E-10,3.96E-08
ENSMUSG00000019478,109.3845071,-1.827935673,0.288474304,-6.336563256,2.35E-10,4.54E-08
ENSMUSG00000112023,763.5371462,1.738384641,0.27473106,6.327586851,2.49E-10,4.73E-08
ENSMUSG00000075122,289.6868872,1.177530669,0.187277605,6.287621356,3.22E-10,6.04E-08
